Name,Current Price,Old Price,Discount,Date
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 24,500","KSh 30,000",18%,2025-07-05
"HP Refurbished Elitebook 820 Core I5, 8GB RAM 256GB SSD -12.5"", Black, 6 Months WRTY","KSh 15,990","KSh 19,000",16%,2025-07-05
"HP Refurbished ProBook 640 G1 Core I5, 8GB RAM, 500GB HDD, Windows 10, 6 Months WRTY","KSh 14,906","KSh 26,700",44%,2025-07-05
"Lenovo 100e Chromebook - AMD A4 -9120C Radeon R4 - Storage 4GB RAM - 32GB EMMC - Chrome OS - 11.6"" Screen– WiFi- Refurb  (6 Months WRTY)","KSh 8,999","KSh 16,998",47%,2025-07-05
HP EliteBook 820 G3 Intel Core I5 8GB-256GB SSD Silver-12.6 Inch Refurbished,"KSh 18,499","KSh 25,000",26%,2025-07-05
HP Chromebook 11 G7 - Intel Celeron - 4GB RAM / 16GB SSD EMMC - Type C - WiFi - Webcam - Bluetooth - Chrome OS - Refurb.,"KSh 8,299","KSh 16,999",51%,2025-07-05
"Nec Laptop New VersaPro X360, 4 GB RAM, 64 GB SSD, 11"" Windows 11 , Black","KSh 12,499","KSh 16,999",26%,2025-07-05
"HP Elitebook 820  Core I5, 8GB RAM-+ 500 GB HDD -12.5"" Refurbished","KSh 16,499","KSh 26,500",38%,2025-07-05
"Lenovo Refurbished ThinkPad Yoga 11e  X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black","KSh 10,550","KSh 22,500",53%,2025-07-05
"HP Refurbished EliteBook 8460/70p Core I5 - HDD 500GB - 8GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)","KSh 11,617","KSh 25,798",55%,2025-07-05
Lenovo Refurbished Thinkpad 11E  Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black  (6 Months WRTY),"KSh 9,197","KSh 19,500",53%,2025-07-05
"Lenovo Refurbished Thinkpad X250 Intel Core I5, 8GB RAM, 500GB HDD, 12.5'' Black Win 10","KSh 13,553","KSh 27,000",50%,2025-07-05
"Lenovo Renewed ThinkPad Yoga 11e Touch Screen Intel Celeron 4GB 128GB SSD 11.6""","KSh 10,062","KSh 22,000",54%,2025-07-05
"HP Refurbished Elitebook 820  Core  I5, 8GB RAM 500GB  HDD -12.5"", Black  (6 Months WRTY)","KSh 15,499","KSh 29,999",48%,2025-07-05
"HP EliteBook 840 G6-8th Gen -Core I5, 16GB RAM, 256GB-SSD-Refurbished-14""- Silver-Win  (6 Months WRTY)","KSh 29,499","KSh 36,000",18%,2025-07-05
"Lenovo Refurbished 8GB RAM, 500GB Hard Disk, X131e 12.5'' Screen Display, HDMI Port & Bluetooth,Webcam, Windows 11 PRO Activated, Office & Basic Software Installed + Free Bag + Charger + Free Wireless Mouse + Free Extension","KSh 14,519","KSh 20,000",27%,2025-07-05
